number,name,brand,strength,anson_handle,anson_url
1,Anson Black,Anson PDR,Super High,anson-pdr-black-glue,https://ansonpdr.com/products/anson-pdr-black-glue
2,Dent Out PG-10 Yellow,Dent Out,Medium,dentout-yellow-pdr-glue,https://ansonpdr.com/products/dentout-yellow-pdr-glue
3,Dent Slayer Cool Climate,Dent Slayer,High,dent-slayer-cold-climate-collision-glue,https://ansonpdr.com/products/dent-slayer-cold-climate-collision-glue
4,Brazilian Blue,Elimadent,High,elimadent-brazilian-blue,https://ansonpdr.com/products/elimadent-brazilian-blue
5,Swiss Blue,Plain Jane PDR,Medium,swiss-blue-pdr-glue-plain-jane,https://ansonpdr.com/products/swiss-blue-pdr-glue-plain-jane
6,Tequila Ice (Blue),Tequila PDR,High,tequila-pdr-tools-ice-glue,https://ansonpdr.com/products/tequila-pdr-tools-ice-glue
7,Black Widow,Burro PDR,High,black-burro-pdr-glue,https://ansonpdr.com/products/black-burro-pdr-glue
8,Glexo PDR/Hail Yellow,Glexo,High,glexo-pdr-hail-yellow,https://ansonpdr.com/products/glexo-pdr-hail-yellow
9,Root Beer,Anson PDR,Super High,root-beer-pdr-glue,https://ansonpdr.com/products/root-beer-pdr-glue
10,Brazilian Green,Anson PDR (Fast PDR formula),High,brazilian-green-hot-glue-10-sticks,https://ansonpdr.com/products/brazilian-green-hot-glue-10-sticks
11,Bubble Gum Pink,Burro PDR,High,burro-pink-pdr-glue,https://ansonpdr.com/products/burro-pink-pdr-glue
12,Carbon Tech Slime (Green),Carbon Tech / Anson PDR,High,carbon-tech-slime-pdr-glue-by-anson-pdr,https://ansonpdr.com/products/carbon-tech-slime-pdr-glue-by-anson-pdr
13,Pink Snapper,Dead Dent Tools,High,pink-snapper-pdr-glue-by-dead-on-dent-tools,https://ansonpdr.com/products/pink-snapper-pdr-glue-by-dead-on-dent-tools
